학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,컴퓨터공학세미나,"월15:00-15:50【미지정】,수17:00-17:50【미지정】","월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,0,95,1
2024학년도 1학기,컴퓨터비전,"금12:00-13:15【85602】,금13:30-14:45【85602】","금12:00-13:15【85602】,금13:30-14:45【85602】",일반수업,85,0,0
2024학년도 1학기,신호및시스템,"화10:30-11:45【21514】,목09:00-10:15【21514】","화10:30-11:45【21514】,목09:00-10:15【21514】",일반수업,21,298,5
2024학년도 1학기,신호및시스템,"화10:30-11:45【21502】,목09:00-10:15【21502】","화10:30-11:45【21502】,목09:00-10:15【21502】",일반수업,21,298,5
2024학년도 1학기,신호및시스템,"화10:30-11:45【22110】,목09:00-10:15【22110】","화10:30-11:45【22110】,목09:00-10:15【22110】",일반수업,22,298,5
2024학년도 1학기,신호및시스템,"화10:30-11:45【21534】,목09:00-10:15【21534】","화10:30-11:45【21534】,목09:00-10:15【21534】",일반수업,21,298,5
2024학년도 1학기,신호및시스템,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,298,5
2024학년도 1학기,디지털통신,"화16:30-17:45【21534】,목15:00-16:15【21534】","화16:30-17:45【21534】,목15:00-16:15【21534】",일반수업,21,42,1
2024학년도 1학기,제어공학기초,"월12:00-13:15【22409】,수13:30-14:45【22409】","월12:00-13:15【22409】,수13:30-14:45【22409】",국제어수업,22,162,3
2024학년도 1학기,제어공학기초,"월13:30-14:45【22410】,수12:00-13:15【22410】","월13:30-14:45【22410】,수12:00-13:15【22410】",일반수업,22,162,3
2024학년도 1학기,제어공학기초,"화12:00-13:15【85613】,목13:30-14:45【85613】","화12:00-13:15【85613】,목13:30-14:45【85613】",일반수업,85,162,3
2024학년도 1학기,통신시스템,"화15:00-16:15【21534】,목16:30-17:45【21534】","화15:00-16:15【21534】,목16:30-17:45【21534】",일반수업,21,12,1
2024학년도 1학기,동역학,"월13:30-14:45【22319】,수12:00-13:15【22319】","월13:30-14:45【22319】,수12:00-13:15【22319】",국제어수업,22,55,1
2024학년도 1학기,스마트카융합종합설계,"화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】","화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】",일반수업,22,40,1
2024학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】","금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26,214,3
2024학년도 1학기,기술경영개론,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【26311】【1.5h(ON)+1.5h(OFF)】,일반수업,26,214,3
2024학년도 1학기,기술경영개론,"금12:00-13:15【미지정】,금13:30-14:45【미지정】","금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,0,214,3
2024학년도 1학기,생산관리,"월09:00-10:15【미지정】,월10:30-11:45【미지정】","월09:00-10:15【미지정】,월10:30-11:45【미지정】",국제어수업,0,0,0
2024학년도 1학기,데이터마이닝,"월12:00-13:15【미지정】,수13:30-14:45【미지정】","월12:00-13:15【미지정】,수13:30-14:45【미지정】",국제어수업,0,98,1
2024학년도 1학기,분산컴퓨팅원론,"월13:30-14:45【85613】,수12:00-13:15【85613】","월13:30-14:45【85613】,수12:00-13:15【85613】",일반수업,85,0,0
2024학년도 1학기,정보시각화,화15:00-16:15【26310】【1.5h(ON)+1.5h(OFF)】,화15:00-16:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2024학년도 1학기,공격관점보안,"화12:00-13:15【26312】,목13:30-14:45【26312】","화12:00-13:15【26312】,목13:30-14:45【26312】",일반수업,26,0,0
2024학년도 1학기,강화학습개론,"화16:30-17:45【26310】,목15:00-16:15【26310】","화16:30-17:45【26310】,목15:00-16:15【26310】",일반수업,26,0,0
2024학년도 1학기,디지털헬스케어보안세미나,【모듈A】수17:00-17:50【26312】,【모듈A】수17:00-17:50【26312】,일반수업,26,0,0
2024학년도 1학기,인공지능윤리,"목09:00-10:15【26312】,목10:30-11:45【26312】","목09:00-10:15【26312】,목10:30-11:45【26312】",국제어수업,26,0,0
2024학년도 1학기,ICT표준기술과실전,화10:30-11:45【85777】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【85777】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
2024학년도 1학기,논리회로,"화09:00-10:15【85613】,목10:30-11:45【85613】","화09:00-10:15【85613】,목10:30-11:45【85613】",일반수업,85,330,5
2024학년도 1학기,논리회로,목10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,목10:30-11:45【22111】【1.5h(ON)+1.5h(OFF)】,일반수업,22,330,5
2024학년도 1학기,논리회로,"화09:00-10:15【21534】,목10:30-11:45【21534】","화09:00-10:15【21534】,목10:30-11:45【21534】",일반수업,21,330,5
2024학년도 1학기,논리회로,"월12:00-13:15【미지정】,수13:30-14:45【미지정】","월12:00-13:15【미지정】,수13:30-14:45【미지정】",국제어수업,0,330,5
2024학년도 1학기,논리회로,"화15:00-16:15【330110】,목16:30-17:45【330110】","화15:00-16:15【330110】,목16:30-17:45【330110】",국제어수업,33,330,5
2024학년도 1학기,논리회로설계실험,"월15:00-15:50【22203】,월16:00-16:50【22203】,월17:00-17:50【22203】,토16:00-16:50【22203】","월15:00-15:50【22203】,월16:00-16:50【22203】,월17:00-17:50【22203】,토16:00-16:50【22203】",일반수업,22,260,8
2024학년도 1학기,논리회로설계실험,"월18:00-18:50【22211】,월19:00-19:50【22211】,월20:00-20:50【22203】,월21:00-21:45【22203】","월18:00-18:50【22211】,월19:00-19:50【22211】,월20:00-20:50【22203】,월21:00-21:45【22203】",일반수업,22,260,8
2024학년도 1학기,논리회로설계실험,"수15:00-15:50【22203】,수16:00-16:50【22203】,수17:00-17:50【22203】,토18:00-18:50【22203】","수15:00-15:50【22203】,수16:00-16:50【22203】,수17:00-17:50【22203】,토18:00-18:50【22203】",일반수업,22,260,8
2024학년도 1학기,논리회로설계실험,"수18:00-18:50【22211】,수19:00-19:50【22211】,수20:00-20:50【22203】,수21:00-21:45【22203】","수18:00-18:50【22211】,수19:00-19:50【22211】,수20:00-20:50【22203】,수21:00-21:45【22203】",일반수업,22,260,8
2024학년도 1학기,논리회로설계실험,"목18:00-18:50【22203】,목19:00-19:50【22203】,목20:00-20:50【22203】,토21:00-21:45【22203】","목18:00-18:50【22203】,목19:00-19:50【22203】,목20:00-20:50【22203】,토21:00-21:45【22203】",일반수업,22,260,8
2024학년도 1학기,논리회로설계실험,"월18:00-18:50【400126】,월19:00-19:50【400213】,월20:00-20:50【400213】,월21:00-21:45【400213】","월18:00-18:50【400126】,월19:00-19:50【400213】,월20:00-20:50【400213】,월21:00-21:45【400213】",일반수업,40,260,8
2024학년도 1학기,논리회로설계실험,"화18:00-18:50【400126】,화19:00-19:50【400213】,화20:00-20:50【400213】,화21:00-21:45【400213】","화18:00-18:50【400126】,화19:00-19:50【400213】,화20:00-20:50【400213】,화21:00-21:45【400213】",일반수업,40,260,8
2024학년도 1학기,논리회로설계실험,"목18:00-18:50【400126】,목19:00-19:50【400213】,목20:00-20:50【400213】,목21:00-21:45【400213】","목18:00-18:50【400126】,목19:00-19:50【400213】,목20:00-20:50【400213】,목21:00-21:45【400213】",일반수업,40,260,8
2024학년도 1학기,마이크로프로세서,"월16:30-17:45【330110】,수15:00-16:15【400202】","월16:30-17:45【330110】,수15:00-16:15【400202】",일반수업,33,69,1
2024학년도 1학기,디지털시스템,"월12:00-13:15【21502】,수13:30-14:45【21502】","월12:00-13:15【21502】,수13:30-14:45【21502】",일반수업,21,121,2
2024학년도 1학기,디지털시스템,"월16:30-17:45【21502】,수15:00-16:15【21502】","월16:30-17:45【21502】,수15:00-16:15【21502】",일반수업,21,121,2
2024학년도 1학기,종합설계프로젝트,"월18:00-19:15【85731】,월19:30-20:45【85731】","월18:00-19:15【85731】,월19:30-20:45【85731】",일반수업,85,238,6
2024학년도 1학기,종합설계프로젝트,"화18:00-19:15【85731】,화19:30-20:45【85731】","화18:00-19:15【85731】,화19:30-20:45【85731】",일반수업,85,238,6
2024학년도 1학기,종합설계프로젝트,"수18:00-19:15【85731】,수19:30-20:45【22202】","수18:00-19:15【85731】,수19:30-20:45【22202】",일반수업,85,238,6
2024학년도 1학기,종합설계프로젝트,"목18:00-19:15【22003】,목19:30-20:45【22003】","목18:00-19:15【22003】,목19:30-20:45【22003】",일반수업,22,238,6
2024학년도 1학기,종합설계프로젝트,"화09:00-10:15【22003】,화10:30-11:45【22003】","화09:00-10:15【22003】,화10:30-11:45【22003】",일반수업,22,238,6
2024학년도 1학기,종합설계프로젝트,"금12:00-13:15【23529】,금13:30-14:45【23529】","금12:00-13:15【23529】,금13:30-14:45【23529】",일반수업,23,238,6
2024학년도 1학기,스마트카공학개론,"금09:00-10:15【23219】,금10:30-11:45【23219】","금09:00-10:15【23219】,금10:30-11:45【23219】",일반수업,23,100,1
2024학년도 1학기,기계학습개론,"화09:00-10:15【330118】,목10:30-11:45【330118】","화09:00-10:15【330118】,목10:30-11:45【330118】",일반수업,33,89,1
2024학년도 1학기,자율주행캡스톤디자인,"금15:00-16:15【22202】,금16:30-17:45【22202】","금15:00-16:15【22202】,금16:30-17:45【22202】",일반수업,22,39,1
2024학년도 1학기,반도체소자및공정특론,"금09:00-10:15【23217】,금10:30-11:45【23217】","금09:00-10:15【23217】,금10:30-11:45【23217】",일반수업,23,0,0
2024학년도 1학기,스마트팩토리캡스톤디자인1,"화18:00-19:15【26312】,화19:30-20:45【26312】","화18:00-19:15【26312】,화19:30-20:45【26312】",일반수업,26,0,0
2024학년도 1학기,전기전자회로개론,"월16:30-17:45【400126】,수15:00-16:15【400126】","월16:30-17:45【400126】,수15:00-16:15【400126】",일반수업,40,26,1
2024학년도 1학기,디지털시스템설계,"월10:30-11:45【400126】,수09:00-10:15【400126】","월10:30-11:45【400126】,수09:00-10:15【400126】",일반수업,40,86,1
2024학년도 1학기,시스템프로그램,"월10:30-11:45【26310】,수09:00-10:15【26310】","월10:30-11:45【26310】,수09:00-10:15【26310】",국제어수업,26,180,3
2024학년도 1학기,시스템프로그램,"월10:30-11:45【26312】,수09:00-10:15【26312】","월10:30-11:45【26312】,수09:00-10:15【26312】",국제어수업,26,180,3
2024학년도 1학기,시스템프로그램,"화12:00-13:15【미지정】,목13:30-14:45【미지정】","화12:00-13:15【미지정】,목13:30-14:45【미지정】",국제어수업,0,180,3
2024학년도 1학기,오토마타,"월16:30-17:45【85602】,수15:00-16:15【85602】【1h(ON)+3h(OFF)[4시간]】","월16:30-17:45【85602】,수15:00-16:15【85602】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,11,1
2024학년도 1학기,자료구조개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,242,4
2024학년도 1학기,자료구조개론,"수09:00-10:15【85602】,수10:30-11:45【85602】","수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,85,242,4
2024학년도 1학기,자료구조개론,"화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,242,4
2024학년도 1학기,알고리즘개론,"월12:00-13:15【26310】,수13:30-14:45【26310】","월12:00-13:15【26310】,수13:30-14:45【26310】",일반수업,26,147,2
2024학년도 1학기,알고리즘개론,"월13:30-14:45【미지정】,수12:00-13:15【미지정】","월13:30-14:45【미지정】,수12:00-13:15【미지정】",국제어수업,0,147,2
2024학년도 1학기,컴퓨터개론,"월13:00-13:50【330110】,월14:00-14:50【330110】","월13:00-13:50【330110】,월14:00-14:50【330110】",일반수업,33,132,2
2024학년도 1학기,오픈소스소프트웨어실습,"목18:00-18:50【23219】,목19:00-19:50【23219】,목20:00-20:50【23219】,목21:00-21:45【23219】","목18:00-18:50【23219】,목19:00-19:50【23219】,목20:00-20:50【23219】,목21:00-21:45【23219】",국제어수업,23,175,2
2024학년도 1학기,오픈소스소프트웨어실습,"수18:00-18:50【85613】,수19:00-19:50【85613】,수20:00-20:50【85613】,수21:00-21:45【85613】","수18:00-18:50【85613】,수19:00-19:50【85613】,수20:00-20:50【85613】,수21:00-21:45【85613】",일반수업,85,175,2
2024학년도 1학기,JAVA프로그래밍실습,"월18:00-18:50【85718】,월19:00-19:50【85718】,월20:00-20:50【85718】,월21:00-21:45【85718】","월18:00-18:50【85718】,월19:00-19:50【85718】,월20:00-20:50【85718】,월21:00-21:45【85718】",국제어수업,85,104,2
2024학년도 1학기,JAVA프로그래밍실습,"화18:00-18:50【85712】,화19:00-19:50【85712】,화20:00-20:50【85712】,화21:00-21:45【85712】","화18:00-18:50【85712】,화19:00-19:50【85712】,화20:00-20:50【85712】,화21:00-21:45【85712】",국제어수업,85,104,2
2024학년도 1학기,시스템프로그래밍실습,"수18:00-18:50【85718】,수19:00-19:50【85718】,수20:00-20:50【85718】,수21:00-21:45【85718】","수18:00-18:50【85718】,수19:00-19:50【85718】,수20:00-20:50【85718】,수21:00-21:45【85718】",국제어수업,85,38,1
2024학년도 1학기,문제해결,"화09:00-10:15【22410】,목10:30-11:45【22410】","화09:00-10:15【22410】,목10:30-11:45【22410】",일반수업,22,79,1
2024학년도 1학기,소프트웨어공학개론,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,151,2
2024학년도 1학기,소프트웨어공학개론,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,151,2
2024학년도 1학기,데이터베이스개론,"월12:00-13:15【85613】,수13:30-14:45【85613】","월12:00-13:15【85613】,수13:30-14:45【85613】",일반수업,85,228,3
2024학년도 1학기,데이터베이스개론,"월12:00-13:15【330118】,수13:30-14:45【330118】","월12:00-13:15【330118】,수13:30-14:45【330118】",국제어수업,33,228,3
2024학년도 1학기,데이터베이스개론,"금09:00-10:15【미지정】,금10:30-11:45【미지정】","금09:00-10:15【미지정】,금10:30-11:45【미지정】",일반수업,0,228,3
2024학년도 1학기,운영체제,"화15:00-16:15【23217】,목16:30-17:45【23217】","화15:00-16:15【23217】,목16:30-17:45【23217】",일반수업,23,151,2
2024학년도 1학기,운영체제,"화12:00-13:15【85602】,목13:30-14:45【85602】","화12:00-13:15【85602】,목13:30-14:45【85602】",일반수업,85,151,2
2024학년도 1학기,컴퓨터구조개론,"화13:30-14:45【23217】,목12:00-13:15【23217】","화13:30-14:45【23217】,목12:00-13:15【23217】",국제어수업,23,124,1
2024학년도 1학기,프로그래밍언어,수12:00-13:15【330110】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【330110】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,171,2
2024학년도 1학기,프로그래밍언어,목15:00-16:15【330110】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【330110】【1.5h(ON)+1.5h(OFF)】,일반수업,33,171,2
2024학년도 1학기,인터넷서비스와정보보호,"화15:00-16:15【26223】,목16:30-17:45【26223】","화15:00-16:15【26223】,목16:30-17:45【26223】",일반수업,26,59,1
2024학년도 1학기,인공지능개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,166,2
2024학년도 1학기,인공지능개론,월10:30-11:45【400102】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【400102】【1.5h(ON)+1.5h(OFF)】,일반수업,40,166,2
2024학년도 1학기,컴퓨터네트웍개론,"월16:30-17:45【26312】,수15:00-16:15【26312】","월16:30-17:45【26312】,수15:00-16:15【26312】",일반수업,26,142,2
2024학년도 1학기,컴퓨터네트웍개론,월13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,142,2
2024학년도 1학기,소프트웨어특강2,"화09:00-10:15【26310】,화10:30-11:45【26310】","화09:00-10:15【26310】,화10:30-11:45【26310】",일반수업,26,10,1
2024학년도 1학기,정보보호개론,"화13:30-14:45【26310】,목12:00-13:15【26310】","화13:30-14:45【26310】,목12:00-13:15【26310】",일반수업,26,29,1
2024학년도 1학기,확률과랜덤프로세스,목13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,81,1
2024학년도 1학기,캡스톤설계프로젝트,"금12:00-13:15【26310】,금13:30-14:45【26310】","금12:00-13:15【26310】,금13:30-14:45【26310】",국제어수업,26,50,1
2024학년도 1학기,네트워크프로젝트,"목18:00-18:50【85712】,목19:00-19:50【85712】,목20:00-20:50【85712】,목21:00-21:45【85712】","목18:00-18:50【85712】,목19:00-19:50【85712】,목20:00-20:50【85712】,목21:00-21:45【85712】",일반수업,85,116,2
2024학년도 1학기,네트워크프로젝트,"화18:00-18:50【85613】,화19:00-19:50【85613】,화20:00-20:50【85613】,화21:00-21:45【85613】","화18:00-18:50【85613】,화19:00-19:50【85613】,화20:00-20:50【85613】,화21:00-21:45【85613】",일반수업,85,116,2
2024학년도 1학기,인공지능프로젝트,"월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】","월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】",일반수업,26,54,1
2024학년도 1학기,모바일앱프로그래밍실습,"화18:00-18:50【330110】,화19:00-19:50【330110】,화20:00-20:50【330110】,화21:00-21:45【330110】","화18:00-18:50【330110】,화19:00-19:50【330110】,화20:00-20:50【330110】,화21:00-21:45【330110】",국제어수업,33,142,2
2024학년도 1학기,모바일앱프로그래밍실습,"수18:00-18:50【85602】,수19:00-19:50【85602】,수20:00-20:50【85602】,수21:00-21:45【85602】","수18:00-18:50【85602】,수19:00-19:50【85602】,수20:00-20:50【85602】,수21:00-21:45【85602】",일반수업,85,142,2
2024학년도 1학기,빅데이터분석방법론,"금15:00-16:15【26310】,금16:30-17:45【26310】","금15:00-16:15【26310】,금16:30-17:45【26310】",국제어수업,26,57,1
2024학년도 1학기,기계학습원론,"월16:30-17:45【26515】,수15:00-16:15【26515】","월16:30-17:45【26515】,수15:00-16:15【26515】",국제어수업,26,100,1
2024학년도 1학기,컴퓨터비전개론,월12:00-13:15【85602】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,67,1
2024학년도 1학기,심층신경망개론,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,64,1
