학년도학기,교과목명,수업시간대,building,수강인원,개설강좌수,기타
2025학년도 1학기,신호및시스템,"화10:30-11:45【21514】,목09:00-10:15【21514】",21,103,1,
2025학년도 2학기,기계학습개론,"화16:30-17:45【21534】,목15:00-16:15【21534】",21,62,1,
2025학년도 1학기,제어공학기초,"월13:30-14:45【21514】,수12:00-13:15【21514】",21,99,1,
2025학년도 1학기,논리회로,목10:30-11:45【21534】【1.5h(ON)+1.5h(OFF)】,21,256,6,전전
2025학년도 1학기,논리회로,목10:30-11:45【21502】【1.5h(ON)+1.5h(OFF)】,21,256,6,전전
2025학년도 2학기,통신시스템,수13:30-14:45【21534】【1.5h(ON)+1.5h(OFF)】,21,57,1,
2025학년도 1학기,신호및시스템,"화10:30-11:45【21502】,목09:00-10:15【21502】",21,103,1,
2025학년도 1학기,신호및시스템,"화10:30-11:45【21534】,목09:00-10:15【21534】",21,103,1,
2025학년도 1학기,스마트팩토리캡스톤디자인1,"화18:00-19:15【22005】,화19:30-20:45【22005】",22,0,0,
2025학년도 2학기,종합설계프로젝트,"목18:00-19:15【22409】,목19:30-20:45【22003】",22,92,2,
2025학년도 2학기,오픈소스소프트웨어실습,"수18:00-18:50【22410】,수19:00-19:50【22410】,수20:00-20:50【22410】,수21:00-21:45【22410】",22,70,1,
2025학년도 2학기,디지털시스템,"금15:00-16:15【22203】,금16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",22,42,1,
2025학년도 2학기,동역학,"화16:30-17:45【22312】,목15:00-16:15【22312】",22,156,2,
2025학년도 2학기,멀티미디어공학,월13:30-14:45【22211】【1.5h(ON)+1.5h(OFF)】,22,52,1,
2025학년도 2학기,논리회로설계실험,"월18:00-18:50【22203】,월19:00-19:50【22203】,월20:00-20:50【22203】,월21:00-21:45【22203】",22,69,2,
2025학년도 2학기,논리회로,"화09:00-10:15【22409】,목10:30-11:45【22409】",22,256,3,
2025학년도 2학기,디지털신호처리,"화12:00-13:15【22211】,목13:30-14:45【22211】",22,21,1,
2025학년도 2학기,제어공학기초,화13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,22,66,1,
2025학년도 2학기,컴퓨터네트워크개론,"화15:00-16:15【22211】,목16:30-17:45【22211】",22,0,0,
2025학년도 2학기,계측공학,"화09:00-10:15【22310】,목10:30-11:45【22310】",22,51,1,
2025학년도 2학기,동역학,"월10:30-11:45【22312】,수09:00-10:15【22312】",22,156,2,
2025학년도 2학기,수치해석,"화13:30-14:45【22110】,목12:00-13:15【22110】",22,32,1,
2025학년도 2학기,논리회로설계실험,"화18:00-18:50【22203】,화19:00-19:50【22203】,화20:00-20:50【22203】,화21:00-21:45【22203】",22,69,2,
2025학년도 1학기,종합설계프로젝트,"수18:00-19:15【22203】,수19:30-20:45【85731】",22,250,6,
2025학년도 1학기,논리회로,화10:30-11:45【22409】【1.5h(ON)+1.5h(OFF)】,22,256,6,전전
2025학년도 1학기,종합설계프로젝트,"목18:00-19:15【22003】,목19:30-20:45【22003】",22,250,6,
2025학년도 1학기,종합설계프로젝트,"화09:00-10:15【22003】,화10:30-11:45【22003】",22,250,6,
2025학년도 1학기,논리회로설계실험,"월18:00-18:50【22202】,월19:00-19:50【22202】,월20:00-20:50【22202】,월21:00-21:45【22202】",22,176,6,
2025학년도 1학기,디지털통신,목15:00-16:15【22111】【1.5h(ON)+1.5h(OFF)】,22,39,1,
2025학년도 1학기,디지털시스템,"토15:00-16:15【22203】,토16:30-17:45【22203】【1h(ON)+3h(OFF)[4시간]】",22,97,2,
2025학년도 1학기,제어공학기초,"화12:00-13:15【22410】,목13:30-14:45【22410】",22,99,1,
2025학년도 1학기,디지털시스템,"금12:00-13:15【22203】,금13:30-14:45【22203】【1h(ON)+3h(OFF)[4시간]】",22,97,2,
2025학년도 1학기,동역학,"월12:00-13:15【22310】,수13:30-14:45【22310】",22,61,2,
2025학년도 1학기,스마트카융합종합설계,"화15:00-15:50【22301】,화16:00-16:50【22301】,화17:00-17:50【22301】,화18:00-18:50【22301】,화19:00-19:50【22301】,화20:00-20:50【22301】",22,41,1,
2025학년도 1학기,마이크로프로세서,"화16:30-17:45【22409】,목15:00-16:15【22409】",22,113,2,전전
2025학년도 1학기,논리회로설계실험,"화18:00-18:50【22202】,화19:00-19:50【22202】,화20:00-20:50【22202】,화21:00-21:45【22202】",22,176,6,
2025학년도 1학기,논리회로설계실험,"수18:00-18:50【22202】,수19:00-19:50【22202】,수20:00-20:50【22202】,수21:00-21:45【22202】",22,176,6,
2025학년도 1학기,종합설계프로젝트,"금12:00-13:15【23529】,금13:30-14:45【23529】",23,250,6,
2025학년도 2학기,마이크로프로세서실험,"목18:00-18:50【23529】,목19:00-19:50【23529】,목20:00-20:50【23529】,목21:00-21:45【23529】",23,42,1,
2025학년도 1학기,스마트카공학개론,"금09:00-10:15【23217】,금10:30-11:45【23217】",23,75,1,
2025학년도 2학기,웹프로그래밍실습,"월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】",26,50,1,
2025학년도 2학기,컴퓨터비전개론,월12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,26,69,1,
2025학년도 2학기,캡스톤설계프로젝트,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,26,63,1,
2025학년도 2학기,심층신경망개론,"화09:00-10:15【26310】,목10:30-11:45【26310】",26,119,3,명륜1
2025학년도 2학기,인공지능프로젝트,"화18:00-18:50【26310】,화19:00-19:50【26310】,화20:00-20:50【26310】,화21:00-21:45【26310】",26,16,1,
2025학년도 1학기,심층신경망개론,목12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,26,48,1,
2025학년도 2학기,기술경영개론,"금15:00-16:15【26421】,금16:30-17:45【26421】",26,192,3,
2025학년도 2학기,기계학습원론,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,26,116,2,
2025학년도 2학기,정보보호개론,수12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,26,80,2,
2025학년도 2학기,컴퓨터네트웍개론,"월15:00-16:15【26310】,수16:30-17:45【26310】",26,193,3,
2025학년도 2학기,소프트웨어특강2,"월15:00-16:15【26312】,수16:30-17:45【26312】",26,14,1,
2025학년도 2학기,생산관리,월10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,26,65,1,
2025학년도 2학기,CAD/제품정보관리및실습,"화09:00-09:50【26511】,화10:00-10:50【26511】【1h(ON)+2h(OFF)】",26,24,1,
2025학년도 2학기,인공지능개론,수13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,26,205,3,
2025학년도 2학기,컴퓨터그래픽스개론,화16:30-17:45【26312】【1.5h(ON)+1.5h(OFF)】,26,50,1,
2025학년도 2학기,프로그래밍언어,"화10:30-11:45【26310】,목09:00-10:15【26310】",26,153,2,
2025학년도 2학기,프로그래밍언어,목16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,26,153,2,
2025학년도 2학기,컴퓨터구조개론,"월13:30-14:45【26310】,수12:00-13:15【26310】",26,183,3,
2025학년도 2학기,스마트팩토리캡스톤디자인2,"화18:00-19:15【26223】,화19:30-20:45【26223】",26,0,0,
2025학년도 2학기,알고리즘개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,26,183,3,명륜1
2025학년도 2학기,운영체제,"화12:00-13:15【26310】,목13:30-14:45【26310】",26,109,2,
2025학년도 2학기,데이터베이스개론,"화16:30-17:45【26310】,목15:00-16:15【26310】",26,79,1,
2025학년도 1학기,기계학습원론,"화10:30-11:45【26310】,목09:00-10:15【26310】",26,193,3,
2025학년도 2학기,기술경영개론,수12:00-13:15【26515】【1.5h(ON)+1.5h(OFF)】,26,192,3,
2025학년도 1학기,기계학습원론,"월16:30-17:45【26310】,수15:00-16:15【26310】",26,193,3,
2025학년도 1학기,인공지능프로젝트,"월18:00-18:50【26310】,월19:00-19:50【26310】,월20:00-20:50【26310】,월21:00-21:45【26310】",26,31,1,
2025학년도 1학기,컴퓨터그래픽스개론,화16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,26,77,1,
2025학년도 1학기,데이터베이스개론,"월12:00-13:15【26515】,수13:30-14:45【26515】",26,266,3,
2025학년도 1학기,프로그래밍언어,"월13:30-14:45【26310】,수12:00-13:15【26310】",26,148,2,
2025학년도 1학기,공격관점보안,"화15:00-16:15【26310】,목16:30-17:45【26310】",26,0,0,
2025학년도 1학기,인터넷서비스와정보보호,"화15:00-16:15【26312】,목16:30-17:45【26312】",26,37,1,
2025학년도 1학기,인공지능개론,수15:00-16:15【26312】【1.5h(ON)+1.5h(OFF)】,26,144,2,
2025학년도 1학기,인공지능개론,목10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,26,144,2,
2025학년도 1학기,시스템프로그램,"월10:30-11:45【26312】,수09:00-10:15【26312】",26,155,3,
2025학년도 1학기,오픈소스소프트웨어실습,"수18:00-18:50【26515】,수19:00-19:50【26515】,수20:00-20:50【26515】,수21:00-21:45【26515】",26,115,1,
2025학년도 1학기,컴퓨터네트웍개론,월10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,26,86,1,
2025학년도 1학기,소프트웨어특강1,수10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,26,31,1,
2025학년도 1학기,정보보호개론,"화13:30-14:45【26312】,목12:00-13:15【26312】",26,56,1,
2025학년도 1학기,차세대컴퓨터인터페이스설계,화12:00-13:15【26512】【1.5h(ON)+1.5h(OFF)】,26,43,1,
2025학년도 1학기,확률과랜덤프로세스,수12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,26,55,1,
2025학년도 1학기,생산관리,월10:30-11:45【26223】【1.5h(ON)+1.5h(OFF)】,26,65,1,
2025학년도 1학기,기술경영개론,"금15:00-16:15【26223】,금16:30-17:45【26223】",26,109,2,
2025학년도 1학기,정보시각화,목10:30-11:45【26307】【1.5h(ON)+1.5h(OFF)】,26,0,0,
2025학년도 1학기,시스템프로그램,화12:00-13:15【26312】【1.5h(ON)+1.5h(OFF)】,26,155,3,
2025학년도 2학기,시스템프로그램,"화16:30-17:45【330118】,목15:00-16:15【330118】",33,145,2,
2025학년도 1학기,마이크로프로세서실험,"월18:00-19:10【330102】,월19:20-20:30【330102】【1h(ON)+3h(OFF)】",33,66,1,
2025학년도 2학기,자료구조개론,"월10:30-11:45【330118】,수09:00-10:15【330118】",33,234,2,
2025학년도 1학기,자율주행캡스톤디자인,금15:00-16:15【330102】【1.5h(ON)+1.5h(OFF)】,33,32,1,
2025학년도 2학기,자율주행캡스톤디자인,금15:00-16:15【330102】【1.5h(ON)+1.5h(OFF)】,33,26,1,
2025학년도 1학기,알고리즘개론,수13:30-14:45【330118】【1.5h(ON)+1.5h(OFF)】,33,130,2,
2025학년도 2학기,컴퓨터구조개론,화10:30-11:45【330110】【1.5h(ON)+1.5h(OFF)】,33,183,3,
2025학년도 2학기,문제해결,수15:00-16:15【330118】【1.5h(ON)+1.5h(OFF)】,33,89,1,
2025학년도 1학기,논리회로설계실험,"수18:00-18:50【400126】,수19:00-19:50【400213】,수20:00-20:50【400213】,수21:00-21:45【400213】",40,176,6,
2025학년도 2학기,논리회로,화10:30-11:45【400112】【1.5h(ON)+1.5h(OFF)】,40,256,3,
2025학년도 1학기,논리회로설계실험,"월18:00-18:50【400126】,월19:00-19:50【400213】,월20:00-20:50【400213】,월21:00-21:45【400213】",40,176,6,
2025학년도 1학기,마이크로프로세서,수15:00-16:15【400118】【1.5h(ON)+1.5h(OFF)】,40,113,2,반도체
2025학년도 1학기,논리회로설계실험,"화18:00-18:50【400126】,화19:00-19:50【400213】,화20:00-20:50【400213】,화21:00-21:45【400213】",40,176,6,
2025학년도 1학기,기계학습개론,화10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,40,97,1,
2025학년도 1학기,운영체제,목16:30-17:45【400102】【1.5h(ON)+1.5h(OFF)】,40,148,2,
2025학년도 1학기,논리회로,"화15:00-16:15【400126】,목16:30-17:45【400126】【1h(ON)+3h(OFF)[4시간]】",40,256,6,반도체
2025학년도 1학기,디지털시스템설계,"월10:30-11:45【400118】,수09:00-10:15【400118】",40,75,1,
2025학년도 1학기,기초전기회로1,"화13:30-14:45【400126】,목12:00-13:15【400126】",40,56,1,
2025학년도 2학기,알고리즘개론,월10:30-11:45【400126】【1.5h(ON)+1.5h(OFF)】,40,183,3,
2025학년도 1학기,인공지능반도체공정기술,"금12:00-13:15【400102】,금13:30-14:45【400102】",40,0,0,
2025학년도 2학기,스마트카공학개론,"금09:00-10:15【400126】,금10:30-11:45【400126】",40,77,1,
2025학년도 1학기,종합설계프로젝트,"월18:00-19:15【85731】,월19:30-20:45【85731】",85,250,6,
2025학년도 1학기,종합설계프로젝트,"화18:00-19:15【85731】,화19:30-20:45【85731】",85,250,6,
2025학년도 2학기,소프트웨어공학개론,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,85,123,2,
2025학년도 2학기,운영체제,"화13:30-14:45【85602】,목12:00-13:15【85602】",85,109,2,
2025학년도 1학기,캡스톤설계프로젝트,월15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,85,55,1,
2025학년도 1학기,논리회로,"월13:30-14:45【85602】,수12:00-13:15【85602】",85,256,6,소프트
2025학년도 2학기,인공지능개론,"화15:00-16:15【85712】,목16:30-17:45【85712】",85,205,3,
2025학년도 2학기,멀티코어컴퓨팅,"화12:00-13:15【85613】,목13:30-14:45【85613】",85,60,1,
2025학년도 2학기,컴퓨터네트웍개론,수15:00-16:15【85712】【1.5h(ON)+1.5h(OFF)】,85,193,3,
2025학년도 2학기,컴퓨터네트웍개론,"화13:30-14:45【85613】,목12:00-13:15【85613】",85,193,3,
2025학년도 1학기,ICT표준기술과실전,화15:00-16:15【85777】【1.5h(ON)+1.5h(OFF)】,85,0,0,
2025학년도 1학기,추천시스템개론,"수12:00-13:15【85605】,수13:30-14:45【85605】",85,0,0,
2025학년도 2학기,정보보호개론,"화16:30-17:45【85602】,목15:00-16:15【85602】",85,80,2,
2025학년도 2학기,확률과랜덤프로세스,수12:00-13:15【85602】【1.5h(ON)+1.5h(OFF)】,85,31,1,
2025학년도 1학기,강화학습개론,"화16:30-17:45【85718】,목15:00-16:15【85718】",85,0,0,
2025학년도 2학기,데이터베이스프로젝트,"수18:00-18:50【85713】,수19:00-19:50【85713】,수20:00-20:50【85713】,수21:00-21:45【85713】",85,81,1,
2025학년도 2학기,모바일앱프로그래밍실습,"수18:00-19:10【85712】,수19:20-20:30【85712】【1h(ON)+3h(OFF)】",85,15,1,
2025학년도 2학기,기계학습원론,수12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,85,116,2,
2025학년도 1학기,컴퓨터비전,"화12:00-13:15【85702】,화13:30-14:45【85702】",85,0,0,
2025학년도 2학기,컴퓨터구조개론,"월12:00-13:15【85602】,수13:30-14:45【85602】",85,183,3,
2025학년도 2학기,인공지능개론,수10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,85,205,3,
2025학년도 1학기,시스템프로그램,"월10:30-11:45【85613】,수09:00-10:15【85613】",85,155,3,
2025학년도 2학기,시스템프로그래밍실습,"화18:00-18:50【85712】,화19:00-19:50【85712】,화20:00-20:50【85712】,화21:00-21:45【85712】",85,29,1,
2025학년도 1학기,네트워크프로젝트,"화18:00-18:50【85613】,화19:00-19:50【85613】,화20:00-20:50【85613】,화21:00-21:45【85613】",85,103,2,
2025학년도 1학기,네트워크프로젝트,"목18:00-18:50【85613】,목19:00-19:50【85613】,목20:00-20:50【85613】,목21:00-21:45【85613】",85,103,2,
2025학년도 2학기,심층신경망개론,수16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,85,119,3,명륜1
2025학년도 1학기,모바일앱프로그래밍실습,"월18:00-18:50【85702】,월19:00-19:50【85702】,월20:00-20:50【85702】,월21:00-21:45【85702】",85,57,2,
2025학년도 1학기,모바일앱프로그래밍실습,"수18:00-18:50【85602】,수19:00-19:50【85602】,수20:00-20:50【85602】,수21:00-21:45【85602】",85,57,2,
2025학년도 1학기,기계학습원론,목15:00-16:15【85602】【1.5h(ON)+1.5h(OFF)】,85,193,3,
2025학년도 1학기,컴퓨터비전개론,"월12:00-13:15【85613】,수13:30-14:45【85613】",85,46,1,
2025학년도 1학기,프로그래밍언어,목15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,85,148,2,
2025학년도 1학기,컴퓨터구조개론,"화10:30-11:45【85602】,목09:00-10:15【85602】",85,102,2,
2025학년도 1학기,컴퓨터구조개론,"화13:30-14:45【85602】,목12:00-13:15【85602】",85,102,2,
2025학년도 1학기,운영체제,"화12:00-13:15【85602】,목13:30-14:45【85602】",85,148,2,
2025학년도 1학기,데이터베이스개론,"월16:30-17:45【85602】,수15:00-16:15【85602】",85,266,3,
2025학년도 1학기,소프트웨어공학개론,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,85,118,2,59
2025학년도 1학기,양자컴퓨팅개론,수12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,85,61,1,
2025학년도 1학기,문제해결,목16:30-17:45【85602】【1.5h(ON)+1.5h(OFF)】,85,89,1,
2025학년도 2학기,가상현실론,화10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,85,0,0,
2025학년도 2학기,JAVA프로그래밍실습,"목18:00-18:50【85712】,목19:00-19:50【85712】,목20:00-20:50【85712】,목21:00-21:45【85712】",85,31,1,
2025학년도 2학기,시스템프로그램,"화15:00-16:15【85602】,목16:30-17:45【85602】",85,145,2,
2025학년도 2학기,인공지능반도체소자시뮬레이션,"목12:00-13:15【85777】,목13:30-14:45【85777】",85,0,0,
2025학년도 2학기,종합설계프로젝트,"수18:00-19:15【85731】,수19:30-20:45【22003】",85,92,2,
2025학년도 1학기,오토마타,화12:00-13:15【85613】【1.5h(ON)+1.5h(OFF)】,85,25,1,
2025학년도 1학기,자료구조개론,"월09:00-10:15【85613】,수10:30-11:45【85613】",85,239,4,명륜1
2025학년도 1학기,시스템프로그래밍실습,"수18:00-18:50【85613】,수19:00-19:50【85613】,수20:00-20:50【85613】,수21:00-21:45【85613】",85,28,1,
2025학년도 2학기,HCI개론,수10:30-11:45【85613】【1.5h(ON)+1.5h(OFF)】,85,66,1,
2025학년도 1학기,알고리즘개론,월10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,85,130,2,
2025학년도 1학기,JAVA프로그래밍실습,"월18:00-18:50【85613】,월19:00-19:50【85613】,월20:00-20:50【85613】,월21:00-21:45【85613】",85,93,2,
2025학년도 1학기,JAVA프로그래밍실습,"화18:00-18:50【85602】,화19:00-19:50【85602】,화20:00-20:50【85602】,화21:00-21:45【85602】",85,93,2,
2025학년도 2학기,지능형네트워크보안데이터모델링,화15:00-16:15【85605】【1.5h(ON)+1.5h(OFF)】,85,0,0,
2025학년도 2학기,컴파일러와언어원론,"목12:00-13:15【85605】,목13:30-14:45【85605】",85,0,0,
2025학년도 2학기,디지털헬스케어보안세미나,【모듈B】월11:00-11:50【85602】,모듈B,0,0,
2025학년도 2학기,자연어처리개론,"【모듈D】화15:00-16:15【26515】,화16:30-17:45【26515】",모듈D,0,0,
2025학년도 1학기,자료구조개론,"【모듈D】수09:00-10:15【85602】,수10:30-11:45【85602】",모듈D,239,4,명륜1